MUNICIPIOS,RURAL,,,,,,,,,,,,,,,,,,,,,,,
ABEJORRAL,1,,,,,,,,,,,,,,,,,,,,,,,
ABREGO,1,,,,,,,,,,,,,,,,,,,,,,,
ABRIAQUI,1,,,,,,,,,,,,,,,,,,,,,,,
ACACIAS,0,,,,,,,,,,,,,,,,,,,,,,,
ACANDI,1,,,,,,,,,,,,,,,,,,,,,,,
ACEVEDO,1,,,,,,,,,,,,,,,,,,,,,,,
ACHI,1,,,,,,,,,,,,,,,,,,,,,,,
AGRADO,1,,,,,,,,,,,,,,,,,,,,,,,
AGUA DE DIOS,0,,,,,,,,,,,,,,,,,,,,,,,
AGUACHICA,0,,,,,,,,,,,,,,,,,,,,,,,
AGUADA,1,,,,,,,,,,,,,,,,,,,,,,,
AGUADAS,1,,,,,,,,,,,,,,,,,,,,,,,
AGUAZUL,0,,,,,,,,,,,,,,,,,,,,,,,
AGUSTIN CODAZZI,0,,,,,,,,,,,,,,,,,,,,,,,
AIPE,1,,,,,,,,,,,,,,,,,,,,,,,
ALBAN,0,,,,,,,,,,,,,,,,,,,,,,,
ALBAN,0,,,,,,,,,,,,,,,,,,,,,,,
ALBANIA,1,,,,,,,,,,,,,,,,,,,,,,,
ALBANIA,1,,,,,,,,,,,,,,,,,,,,,,,
ALBANIA,1,,,,,,,,,,,,,,,,,,,,,,,
ALCALA,0,,,,,,,,,,,,,,,,,,,,,,,
ALDANA,1,,,,,,,,,,,,,,,,,,,,,,,
ALEJANDRIA,1,,,,,,,,,,,,,,,,,,,,,,,
ALGARROBO,1,,,,,,,,,,,,,,,,,,,,,,,
ALGECIRAS,1,,,,,,,,,,,,,,,,,,,,,,,
ALMAGUER,1,,,,,,,,,,,,,,,,,,,,,,,
ALMEIDA,1,,,,,,,,,,,,,,,,,,,,,,,
ALPUJARRA,1,,,,,,,,,,,,,,,,,,,,,,,
ALTAMIRA,1,,,,,,,,,,,,,,,,,,,,,,,
ALTO BAUDO,1,,,,,,,,,,,,,,,,,,,,,,,
ALTOS DEL ROSARIO,1,,,,,,,,,,,,,,,,,,,,,,,
ALVARADO,1,,,,,,,,,,,,,,,,,,,,,,,
AMAGA,0,,,,,,,,,,,,,,,,,,,,,,,
AMALFI,1,,,,,,,,,,,,,,,,,,,,,,,
