PROGRAMA,SEMESTRE,NOMBRE MODULO
ADMINISTRACION DE EMPRESAS,10,ADMINISTRACION PUBLICA
ADMINISTRACION DE EMPRESAS,7,ALGEBRA LINEAL
TECNOLOGIA EN GESTION FINANCIERA,5,ANALISIS FINANCIERO
ADMINISTRACION DE EMPRESAS,7,AUDITORIA ADMINISTRATIVA
TECNOLOGIA EN GESTION FINANCIERA,5,AUDITORIA ADMINISTRATIVA
TECNOLOGIA EN GESTION FINANCIERA,6,AUDITORIA FINANCIERA
TECNOLOGIA EN GESTION FINANCIERA,2,CALCULO
TECNOLOGIA EN GESTION FINANCIERA,1,CONTABILIDAD BASICA
TECNOLOGIA EN GESTION FINANCIERA,3,CONTABILIDAD DE COSTOS
TECNOLOGIA EN GESTION FINANCIERA,2,CONTABILIDAD FINANCIERA
TECNOLOGIA EN GESTION FINANCIERA,4,CONTABILIDAD PUBLICA
TECNOLOGIA EN GESTION FINANCIERA,4,CONTROL INTERNO
TECNOLOGIA EN GESTION FINANCIERA,5,ELECTIVA
ADMINISTRACION DE EMPRESAS,9,ELECTIVA I
ADMINISTRACION DE EMPRESAS,10,ELECTIVA II
TECNOLOGIA EN GESTION FINANCIERA,3,EMPRENDIMIENTO
TECNOLOGIA EN GESTION FINANCIERA,3,ESTADISTICA DESCRIPTIVA
TECNOLOGIA EN GESTION FINANCIERA,4,ESTADISTICA INFERENCIAL
ADMINISTRACION DE EMPRESAS,8,FORMACION CIUDADANA
TECNOLOGIA EN GESTION FINANCIERA,5,FORMACION CIUDADANA
ADMINISTRACION DE EMPRESAS,7,FORMACION DEL SER
TECNOLOGIA EN GESTION FINANCIERA,1,FORMACION DEL SER
ADMINISTRACION DE EMPRESAS,7,FORMULACION Y EVALUACION DE PROYECTOS
ADMINISTRACION FINANCIERA,10,ADMINISTRACION DE LA  PRODUCCION Y DE LA OPERACION
ADMINISTRACION FINANCIERA,10,ADMINISTRACION DEL RIESGO
ADMINISTRACION FINANCIERA,7,ALGEBRA LINEAL
ADMINISTRACION FINANCIERA,10,AUDITORIA AMBIENTAL
ADMINISTRACION FINANCIERA,7,AUDITORIA DE LA CALIDAD
ADMINISTRACION FINANCIERA,9,ELECTIVA
ADMINISTRACION FINANCIERA,7,FINANZAS CORPORATIVAS
ADMINISTRACION FINANCIERA,8,FINANZAS INTERNACIONALES
ADMINISTRACION FINANCIERA,9,FINANZAS PUBLICAS
ADMINISTRACION FINANCIERA,8,FORMACION CIUDADANA
ADMINISTRACION FINANCIERA,7,FORMACION DEL SER
ADMINISTRACION FINANCIERA,7,FORMULACION Y EVALUACION DE PROYECTOS
ADMINISTRACION FINANCIERA,8,GERENCIA BANCARIA
ADMINISTRACION FINANCIERA,8,GERENCIA DE PROYECTOS
ADMINISTRACION FINANCIERA,10,GERENCIA DEL TALENTO HUMANO
ADMINISTRACION FINANCIERA,7,GERENCIA ESTRATEGICA DE COSTOS
ADMINISTRACION FINANCIERA,8,INGENIERIA ECONOMICA
ADMINISTRACION FINANCIERA,9,INVESTIGACION DE MERCADOS
ADMINISTRACION FINANCIERA,10,LEGISLACION FINANCIERA
ADMINISTRACION FINANCIERA,9,MERCADO DE CAPITALES
ADMINISTRACION FINANCIERA,10,NEGOCIOS INTERNACIONALES
ADMINISTRACION FINANCIERA,8,PLANEACION ESTRATEGICA
ADMINISTRACION FINANCIERA,9,PROSPECTIVA EMPRESARIAL
ADMINISTRACION FINANCIERA,9,TRABAJO DE GRADO I
ADMINISTRACION FINANCIERA,10,TRABAJO DE GRADO II
ARQUITECTURA,7,ADMINISTRACION Y PROGRAMACION DE OBRAS
ARQUITECTURA,4,ANALISIS ESTRUCTURAL
ARQUITECTURA,1,CATEDRA DE PAZ
ARQUITECTURA,2,DIBUJO ARQUITECTONICO
ARQUITECTURA,3,DISENO ASISTIDO POR COMPUTADOR
ARQUITECTURA,4,DISENO ASISTIDO POR COMPUTADOR II
ARQUITECTURA,7,EJERCICIO PROFESIONAL I
ARQUITECTURA,9,EJERCICIO PROFESIONAL II
ARQUITECTURA,9,EJERCICIO PROFESIONAL III
ARQUITECTURA,5,ELECTIVA I
ARQUITECTURA,9,ELECTIVA II
ARQUITECTURA,9,ELECTIVA III
ARQUITECTURA,10,ELECTIVA IV
ARQUITECTURA,2,ETICA
ARQUITECTURA,5,FORMACION CIUDADANA
ARQUITECTURA,1,FORMACION DEL SER
ARQUITECTURA,8,FORMULACION DE TRABAJO DE GRADO
ARQUITECTURA,2,GEOMETRIA DESCRIPTIVA
ARQUITECTURA,4,HISTORIA DE LA ARQUITECTURA COLOMBIA Y LATINOAMERICA
ARQUITECTURA,3,HISTORIA DE LA ARQUITECTURA DE LOS SIGLOS XX Y XXI
ARQUITECTURA,2,HISTORIA DE LA ARQUITECTURA DESDE EL XV HASTA FINALES DEL SIGLO XIX
ARQUITECTURA,1,HISTORIA DE LA ARQUITECTURA OCCIDENTAL HASTA EL SIGLO XIV
ARQUITECTURA,6,ILUMINACION Y VENTILACION EN ARQUITECTURA
ARQUITECTURA,5,INGLES I
ARQUITECTURA,6,INGLES II
ARQUITECTURA,7,INGLES III
ARQUITECTURA,8,INGLES IV
ARQUITECTURA,5,INSTALACIONES
ARQUITECTURA,1,INTRODUCCION A LA CONSTRUCCION
ARQUITECTURA,1,INTRODUCCION AL DIBUJO ARQUITECTONICO
ARQUITECTURA,4,MATEMATICAS GENERALES
ARQUITECTURA,5,METODOLOGIA DE LA INVESTIGACION
ARQUITECTURA,7,PLANIFICACION TERRITORIAL I
ARQUITECTURA,8,PLANIFICACION TERRITORIAL II
ARQUITECTURA,9,PLANIFICACION TERRITORIAL III
ARQUITECTURA,10,PRACTICA PROFESIONAL
ARQUITECTURA,3,SEMIOTICA DE LA ARQUITECTURA Y EL URBANISMO
ARQUITECTURA,2,SISTEMAS CONSTRUCTIVOS I
ARQUITECTURA,8,SISTEMAS CONSTRUCTIVOS II
ARQUITECTURA,6,SISTEMAS DE INFORMACION GEOGRAFICA
ARQUITECTURA,1,TALLER I ESPACIO Y COMPOSICION
ARQUITECTURA,2,TALLER II VIVIENDA
ARQUITECTURA,3,TALLER III EQUIPAMENTO DE BAJO IMPACTO
ARQUITECTURA,4,TALLER IV VIVIENDA EN ALTURA
ARQUITECTURA,5,TALLER V ESPACIO PUBLICO
ARQUITECTURA,6,TALLER VI PATRIMONIO
ARQUITECTURA,7,TALLER VII EQUIPAMENTO DE ALTO IMPACTO
ARQUITECTURA,8,TALLER VIII PROYECTO URBANO
ARQUITECTURA,1,TECNICAS DE COMUNICACION
ARQUITECTURA,9,TRABAJO DE GRADO I
ARQUITECTURA,10,TRABAJO DE GRADO II
DISENO VISUAL,7,ANTROPOLOGIA
DISENO VISUAL,2,APRECIACION DEL ARTE
DISENO VISUAL,1,BOCETACION MANUAL
DISENO VISUAL,6,CALIDAD
DISENO VISUAL,2,COMUNICACION VISUAL 1
DISENO VISUAL,4,COMUNICACION VISUAL 2
DISENO VISUAL,5,COMUNICACION VISUAL 3
DISENO VISUAL,6,COMUNICACION VISUAL 4
DISENO VISUAL,8,CONTEXTOS CULTURALES
