programa,roc_auc,recall,precision,f1,pr_auc,mae,r2,umbral_optimo,duracion_seg,estado
ADMINISTRACION_DE_EMPRESAS,1.0,1.0,1.0,1.0,1.0,0.1214,0.9875,0.26,30.2,✅ OK
ADMINISTRACION_FINANCIERA,0.9846,1.0,0.5,0.6667,0.7083,0.1343,0.9826,0.05,16.0,✅ OK
ARQUITECTURA,0.9949,1.0,0.9,0.9474,0.9819,0.2147,0.9424,0.05,17.4,✅ OK
DISENO_VISUAL,0.9988,1.0,0.963,0.9811,0.997,0.1381,0.9817,0.24,22.8,✅ OK
INGENIERIA_INFORMATICA,0.9991,0.96,1.0,0.9796,0.9956,0.1488,0.9755,0.53,19.4,✅ OK
TECNOLOGIA_EN_DELINEANTES_DE_ARQUITECTURA_E_INGENIERIA,0.9806,1.0,0.8919,0.9429,0.9656,0.1277,0.9868,0.19,16.1,✅ OK
TECNOLOGIA_EN_DESARROLLO_DE_SOFTWARE,0.9985,1.0,0.9375,0.9677,0.9956,0.1279,0.9809,0.07,17.0,✅ OK
TECNOLOGIA_EN_GESTION_COMERCIAL_Y_DE_MERCADOS,0.9996,1.0,0.9688,0.9841,0.999,0.141,0.9842,0.3,19.0,✅ OK
TECNOLOGIA_EN_GESTION_EMPRESARIAL,0.9997,0.9848,1.0,0.9924,0.9996,0.1164,0.9854,0.41,28.4,✅ OK
TECNOLOGIA_EN_GESTION_FINANCIERA,0.9877,0.963,0.8966,0.9286,0.9733,0.1991,0.942,0.32,9.8,✅ OK
